,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
62,여행·레저,[3782%앵콜]감성충만 미니멀 캠핑을 위한 월넛 롤테이블과 버너테이블.,컬(curl),1601%,"16,012,250원","1,000,000원",57,161,"이제는 미니멀 캠핑 시대! 이것저것 싸들고 다니는 캠핑은 이제 그만!
최소한의 부피를 위한 롤테이블과 버너테이블로 미니멀 하게, 그리고 감성 돋게 캠핑을 즐기세요.",2020.10.18-2020.10.26,None
63,여행·레저,국내최초 차량배터리 방전예방 수명연장을 위한 배터리커버 비가드백 출시 ,제품명 비가드백   회사명 마루백 ,4%,"90,000원","2,000,000원",7,15,저희업체는 차량용 배터리 보냉 보온커버 국내최초 실용신안을 받아 전년도 1톤차량을 시작으로 2018년 3월 국내 전승용차 를 출시 하였습니다 방전예방 수명연장 특징입니다,2018.06.12-2018.07.15,펀딩성공
64,여행·레저,네모난 캠핑상판은 이제 그만! 컵홀더 원형상판으로 캠핑을 디자인하다.,(주)공간백터,2%,"62,600원","3,000,000원",52,28,"짐정리와 감성있는 테이블 상판이 한번에!!
편하면서 디자인적인 요소를 한번에 충족하는 밀크박스 폴딩테이블 상판으로
미니멀하게 캠핑과 피크닉을 다녀오세요!",2021.03.20-2021.03.26,펀딩성공
65,여행·레저,나인트리 프리미어 호텔 서울 판교 [6월 12일 신개념 개관 펀딩],파르나스호텔 주식회사,640%,"64,028,000원","9,990,000원",425,196,"신생 호텔 그랜드 오픈에 맞춘 신개념 크라우드 펀딩,
나인트리 프리미어 호텔 서울 판교에서 추억과 나눔을 함께하는 가치,
와디즈 서포터분들만을 위한 특별한 객실 펀딩",2021.04.15-2021.04.30,None
66,여행·레저,"손쉬운 조립, 견고한 다리, 나사못을 전혀 사용하지 않은 조립식 테이블",스페이스백터,22%,"330,000원","1,500,000원",13,29,"감성뿜뿜!! 이쁘고 견고한 나만의 테이블과 여행을 떠나요~
누구나 가지고 있고 쉽게 고장나는  롤테이블은 이제 그만!!
조립과정에서 나사못을 전혀 사용하지 않아 오래쓰고 튼튼합니다",2021.04.14-2021.04.28,None
67,여행·레저,프리미엄 스마트 캐리어. 합리적 가격에 당신이 바라던 모든것을 담았습니다,모노폴드,5680%,"113,606,000원","2,000,000원",825,743,"특별한 당신을 위해 품격있는 디자인, 내구성, 무게측정, 충전, 확장, 모듈패드 까지 여행에 필요한 기능을 합리적 가격에 모두 담았습니다. 프리미엄 스마트 캐리어 '케리' 입니다.",2019.03.26-2019.05.05,None
68,여행·레저,넘어지지 않는 초경량 회전 캠핑체어가 내하중이 210kg이나 된다구요?,블루레몬,18148%,"181,480,400원","1,000,000원","1,189",975,"특허 받은 일체형 회전모듈 프레임을 적용한 캠핑 체어 탤론!  넘어지지 않는 안정성에,  최고 내하중 까지.  당신의 여행들 든든하게 서포트합니다.",2020.07.28-2020.08.24,None
69,여행·레저,제주도힐링여행 제주도한달살기 프로젝트,제주알리미닷컴,0%,0원,"3,000,000원",15,59,"한 달간 제주도에 내 집이 생겼다! 
휴식과 여유를 위한 제주도 힐링여행  < 제주도 한 달 살기 프로젝트 >",2019.08.26-2019.09.15,펀딩성공
70,여행·레저,"한국, 미국 실리콘밸리, 중국 중관춘의 청년 창업자를 만나다 :) ",박정석,111%,"3,350,000원","3,000,000원",135,3,"'메르스지도' 개발자, 바이맘, 에디캣을 창업한 청년 창업가들의 창업스토리가 궁금하다면, 중국 중관춘과 미국 실리콘밸리에서 창업한 청년창업가들은 무엇이 우리와 다른지 궁금하다면, 희망돌 프로젝트!",2015.06.12-2015.07.11,None
71,여행·레저,"[ ZERO BAG 출시 ]더 완벽한 여행, 놀라운가격에 멀티어댑터까지!",ZERO LUGGAGE (7G),553%,"5,534,800원","1,000,000원",196,125,"ZERO BAG SERIES 출시! 생활방수, 안티스키밍 RFID차단, 튼튼한 나일론 원단, 탁월한 수납공간으로 안전함과 편리함을 작은 가방에 담았습니다. 그것도 놀라운 가격으로!",2019.04.05-2019.04.22,None
72,여행·레저,"(앵콜) 여행 갈 때 입는 바지, 고고팬츠",LODGE,1191%,"59,574,100원","5,000,000원",525,240,"여행갈때 여러분은 어떤 바지를 입으세요? 
배낭여행, 휴양지, 캠핑.. 어디서든  '고고팬츠'",2017.07.10-2017.07.25,None
73,여행·레저,"★앵콜★ 초경량에 인체공학 디자인을 더하다 : 휴대용 의자 ""파타토""",setoworks ,677%,"6,775,600원","1,000,000원",147,103,공간 활용의 시대! 실내에서는 좁은 공간을 활용하고 아웃도어에서는 간편함을 더했습니다. 세계적인 휴대용 접이식 의자 파타토! 2세대 인체공학 디자인을 적용해 더 편리해졌습니다.,2019.07.24-2019.08.04,None
74,여행·레저,도난방지 가방의 끝판왕! 퍼펙트 가드 백,컨스파라,8134%,"81,341,000원","1,000,000원","1,027",662,"손꼽아 기다려온 나의 해외여행, 도난과 소매치기에 두려워말고 퍼펙트 가드와 안전한 여행을 떠나세요!
    여행/레져 기획전 파트너와 함께합니다.",2018.05.10-2018.06.03,None
